This is a sample data
You can use this to check what you can do with this package

   x  ,  y
1735,     111
1736,     120
1737,     123
1738,     135
1739,     123
1740,     119
1741,     140
1742,     118
1743,     120
1744,     130
1745,     102
1746,     114
1747,     128
1748,     127
1749,     113
1750,     139
1751,     115
1752,     124
1753,     138
1754,     136
1755,     117
1756,     127
1757,     118
1758,     119
1759,     124
1760,     121
1761,     153
1762,     132
1763,     124
1764,     126
1765,     131
1766,     119
1767,     132
1768,     126
1769,     114
1770,     138
1771,     118
1772,     114
1773,     104
1774,     128
1775,     121
1776,     117
1777,     118
1778,     130
1779,     124
1780,     131
1781,     119
1782,     121
1783,     127
1784,     143
1785,     120
1786,     122
1787,     127
1788,     132
1789,     121
1790,     140
1791,     127
1792,     111
1793,     119
1794,     125
1795,     118
1796,     127
1797,     128
1798,     119
1799,     128
1800,     134
1801,     137
1802,     126
1803,     134
1804,     121
1805,     127
1806,     115
1807,     134
1808,     104
1809,     125
1810,     114
1811,     120
1812,     159
1813,     119
1814,     130
1815,     123
1816,     129
1817,     131
1818,     136
1819,     119
1820,     140
1821,     139
1822,     112
1823,     112
1824,     122
1825,     128
1826,     124
1827,     127
1828,     123
1829,     138
1830,     117
1831,     132
1832,     135
1833,     107
1834,     125
1835,      95
1836,     122
1837,     134
1838,     111
1839,     119
1840,     143
1841,     125
1842,     127
1843,     135
1844,     104
1845,     150
1846,     129
1847,     122
1848,     134
1849,     137
1850,     128
1851,     112
1852,      95
1853,     125
1854,     121
1855,     109
1856,     130
1857,     127
1858,     131
1859,     119
1860,     124
1861,     128
1862,     111
1863,     127
1864,     123
1865,     117
1866,     134
1867,     140
1868,     110
1869,     107
1870,     133
1871,     125
1872,     120
1873,     138
1874,     122
1875,     146
1876,     108
1877,     108
1878,     120
1879,     125
1880,     121
1881,     127
1882,     129
1883,     112
1884,     129
1885,     128
1886,     128
1887,     146
1888,     128
1889,     121
1890,     134
1891,     132
1892,     134
1893,     127
1894,     110
1895,     118
1896,     123
1897,     112
1898,     131
1899,     130
1900,     140
1901,     127
1902,     136
1903,     135
1904,     125
1905,     110
1906,     119
1907,     109
1908,     129
1909,     134
1910,     130
1911,     126
1912,     120
1913,     143
1914,     128
1915,     126
1916,     116
1917,     122
1918,     147
1919,     126
1920,     119
1921,     111
1922,     126
1923,      98
1924,     136
1925,     106
1926,     143
1927,     125
1928,     129
1929,     116
1930,     125
1931,     114
1932,     120
1933,     126
1934,     134
1935,     123
1936,     133
1937,     124
1938,     131
1939,     142
1940,     138
1941,     119
1942,     134
1943,     117
1944,     130
1945,     122
1946,     143
1947,     118
1948,     133
1949,     133
1950,     119
1951,     132
1952,     129
1953,     152
1954,     138
1955,     121
1956,     142
1957,     130
1958,     129
1959,     146
1960,     116
1961,     119
1962,     131
1963,     137
1964,     129
1965,     131
1966,     120
1967,     114
1968,     132
1969,     109
1970,     112
1971,     122
1972,     134
1973,     107
1974,     143
1975,     140
1976,     123
1977,     120
1978,     105
1979,     133
1980,     142
1981,     137
1982,     131
1983,     126
1984,     122
1985,     134
1986,     119
1987,     127
1988,     151
1989,     128
1990,     129
1991,     130
1992,     140
1993,     141
1994,     136
1995,     121
1996,     149
1997,     136
1998,     142
1999,     135
2000,     129
2001,     137
2002,     125
2003,     151
2004,     134
2005,     143
2006,     125
2007,     115
2008,     121
2009,     120
2010,     132
2011,     114
2012,     134
2013,     115
2014,     127
2015,     125
2016,     131
2017,     142
2018,     117
2019,     140
2020,     128
2021,     127
2022,     120
2023,     143
2024,     134
2025,     150
2026,     118
2027,     146
2028,     139
2029,     138
2030,     140
2031,     106
2032,     163
2033,     103
2034,     132
2035,     144
2036,     143
2037,     130
2038,     139
2039,     108
2040,     127
2041,     151
2042,     125
2043,     133
2044,     119
2045,     125
2046,     141
2047,     118
2048,     125
2049,     118
2050,     125
2051,     143
2052,     131
2053,     118
2054,     131
2055,     143
2056,     138
2057,     147
2058,     143
2059,     139
2060,     141
2061,     142
2062,     135
2063,     123
2064,     127
2065,     153
2066,     126
2067,     125
2068,     139
2069,     118
2070,     113
2071,     128
2072,     145
2073,     127
2074,     119
2075,     128
2076,     126
2077,     121
2078,     123
2079,     115
2080,     133
2081,     154
2082,     131
2083,     128
2084,     128
2085,     114
2086,     131
2087,     139
2088,     143
2089,     130
2090,     135
2091,     142
2092,     145
2093,     140
2094,     142
2095,     127
2096,     142
2097,     129
2098,     138
2099,     128
2100,     137
2101,     118
2102,     130
2103,     143
2104,     143
2105,     133
2106,     135
2107,     145
2108,     159
2109,     150
2110,     130
2111,     141
2112,     124
2113,     156
2114,     125
2115,     138
2116,     113
2117,     141
2118,     147
2119,     133
2120,     132
2121,     129
2122,     153
2123,     144
2124,     122
2125,     146
2126,     123
2127,     138
2128,     164
2129,     121
2130,     137
2131,     110
2132,     140
2133,     149
2134,     128
2135,     139
2136,     133
2137,     126
2138,     126
2139,     142
2140,     142
2141,     138
2142,     145
2143,     140
2144,     152
2145,     116
2146,     141
2147,     147
2148,     133
2149,     132
2150,     148
2151,     152
2152,     124
2153,     128
2154,     162
2155,     158
2156,     150
2157,     161
2158,     146
2159,     128
2160,     142
2161,     159
2162,     140
2163,     146
2164,     162
2165,     131
2166,     139
2167,     129
2168,     159
2169,     154
2170,     135
2171,     134
2172,     113
2173,     144
2174,     136
2175,     174
2176,     131
2177,     170
2178,     128
2179,     153
2180,     144
2181,     130
2182,     131
2183,     129
2184,     139
2185,     127
2186,     119
2187,     156
2188,     149
2189,     141
2190,     140
2191,     154
2192,     140
2193,     129
2194,     124
2195,     131
2196,     129
2197,     138
2198,     121
2199,     125
2200,     153
2201,     149
2202,     132
2203,     139
2204,     169
2205,     152
2206,     127
2207,     137
2208,     135
2209,     133
2210,     147
2211,     154
2212,     134
2213,     160
2214,     132
2215,     148
2216,     139
2217,     148
2218,     159
2219,     145
2220,     155
2221,     148
2222,     165
2223,     146
2224,     169
2225,     161
2226,     136
2227,     151
2228,     149
2229,     135
2230,     145
2231,     164
2232,     125
2233,     145
2234,     135
2235,     141
2236,     135
2237,     154
2238,     156
2239,     156
2240,     138
2241,     134
2242,     143
2243,     141
2244,     159
2245,     159
2246,     123
2247,     146
2248,     122
2249,     138
2250,     153
2251,     142
2252,     135
2253,     129
2254,     151
2255,     152
2256,     132
2257,     138
2258,     171
2259,     142
2260,     139
2261,     139
2262,     168
2263,     150
2264,     142
2265,     137
2266,     126
2267,     140
2268,     145
2269,     145
2270,     150
2271,     149
2272,     144
2273,     141
2274,     147
2275,     152
2276,     150
2277,     145
2278,     173
2279,     150
2280,     127
2281,     136
2282,     148
2283,     168
2284,     152
2285,     132
2286,     162
2287,     165
2288,     147
2289,     144
2290,     146
2291,     161
2292,     164
2293,     136
2294,     135
2295,     136
2296,     133
2297,     164
2298,     171
2299,     141
2300,     163
2301,     147
2302,     149
2303,     171
2304,     146
2305,     145
2306,     136
2307,     145
2308,     140
2309,     151
2310,     150
2311,     139
2312,     165
